Filename,C:/Users/Nox.workstation/Desktop/Analysis/Xana/Data12\190725_Sens30_unamp_1.avi
Frames per second,30.0,Seconds per frame,0.03333333333333333,Fly box size,100x100 pixels,Arena center,"(0, 0)"
Arena diameter pixels,1197,Arena diameter in millimeters,30,Arena top left,"(1, 1)"
,,pixels,pixels,pixeis sum,pixeis sum,pixels/frame,pixels/frame,pixeis avg,pixels/frame,pixels/frame,degrees,degrees,degrees,pixels,,millimeters,millimeters,millimeters/frame,millimeters/frame,millimeters/frame,millimeters/frame,millimeters,pixels,pixels
frame,seconds,x,y,motion,motion acceleration,velocity,acceleration,LED,velocity vector x,velocity vector y,velocity angle,angular velocity,angle to the arena center,distance to the arena center,,x,y,velocity,acceleration,velocity vector x,velocity vector y,distance to the arena center,x in relation to the arena,y in relation to the arena
61.0,2.033333333333333,983,448,4752,-822,7.6157731058639087,-0.63043814537141252,137,-3,7,246.80140948635182,0.33289051055908203,24.5,1080.27,,983.0,448.0,7.6157731058639087,-0.63043814537141252,-3.0,7.0,1080.27,982,447
62.0,2.0666666666666664,981,455,4242,-510,7.2801098892805181,-0.3356632165833906,137,-2,7,254.05460409907712,0.5370903015136719,24.88,1081.38,,981.0,455.0,7.2801098892805181,-0.3356632165833906,-2.0,7.0,1081.38,980,454
63.0,2.1,979,462,4749,507,7.2801098892805181,0.0,137,-2,7,254.05460409907712,1.46012544631958,25.26,1082.54,,979.0,462.0,7.2801098892805181,0.0,-2.0,7.0,1082.54,978,461
64.0,2.1333333333333333,978,469,4434,-315,7.0710678118654755,-0.20904207741504255,137,-1,7,261.869897645844,0.33928871154785156,25.62,1084.64,,978.0,469.0,7.0710678118654755,-0.20904207741504255,-1.0,7.0,1084.64,977,468
65.0,2.1666666666666665,976,479,5436,1002,10.198039027185569,3.1269712153200935,138,-2,10,258.6900675259798,0.770728588104248,26.14,1087.21,,976.0,479.0,10.198039027185569,3.1269712153200935,-2.0,10.0,1087.21,975,478
66.0,2.2,975,486,4326,-1110,7.0710678118654755,-3.1269712153200935,138,-1,7,261.869897645844,0.05472564697265625,26.49,1089.41,,975.0,486.0,7.0710678118654755,-3.1269712153200935,-1.0,7.0,1089.41,974,485
67.0,2.2333333333333334,974,495,5202,876,9.0553851381374173,1.9843173262719418,137,-1,9,263.6598082540901,2.874288558959961,26.94,1092.57,,974.0,495.0,9.0553851381374173,1.9843173262719418,-1.0,9.0,1092.57,973,494
68.0,2.2666666666666666,973,502,4623,-579,7.0710678118654755,-1.9843173262719418,138,-1,7,261.869897645844,0.7233881950378418,27.29,1094.87,,973.0,502.0,7.0710678118654755,-1.9843173262719418,-1.0,7.0,1094.87,972,501
69.0,2.3,971,513,5913,1290,11.180339887498949,4.1092720756334735,138,-2,11,259.695153531234,1.7072691917419434,27.85,1098.18,,971.0,513.0,11.180339887498949,4.1092720756334735,-2.0,11.0,1098.18,970,512
70.0,2.3333333333333335,970,522,5385,-528,9.0553851381374173,-2.1249547493615317,137,-1,9,263.6598082540901,1.8023614883422852,28.29,1101.54,,970.0,522.0,9.0553851381374173,-2.1249547493615317,-1.0,9.0,1101.54,969,521
71.0,2.3666666666666667,969,532,5550,165,10.04987562112089,0.99449048298347265,138,-1,10,264.28940686250036,4.597228109836578,28.77,1105.43,,969.0,532.0,10.04987562112089,0.99449048298347265,-1.0,10.0,1105.43,968,531
72.0,2.4,969,543,5958,408,11.0,0.95012437887911005,138,0,11,270.0,1.8417014479637146,29.27,1110.77,,969.0,543.0,11.0,0.95012437887911005,0.0,11.0,1110.77,968,542
